// строки начинающиеся с // игнорируются
// перевод              infinitive  past simple past participle
быть                    be          was/were    been
бить                    beat        beat        beaten
становиться             become      became      become
начинать                begin       began       begun
согнуть                 bend        bent        bent
делать ставку           bet         bet         bet
кусать                  bite        bit         bitten
дуть                    blow        blew        blown
прерывать(ломать)       break       broke       broken
приносить               bring       brought     brought
транслировать           broadcast   broadcast   broadcast
строить                 build       built       built 
взрываться(лопаться)    burst       burst       burst
ловить                  catch       cought      cought
выбирать                choose      chose       chosen
приходить               come        came        come
назначать_цену          cost        cost        cost
ползти                  creep       crept       crept
резать                  cut         cut         cut
иметь_дело              deal        dealt       dealt
копать                  dig         dig         dig
делать                  do          did         done
рисовать                draw        drew        drown
пить                    drink       drank       drunk
водить                  drive       drove       driven
кушать                  eat         ate         eaten
падать                  fall        fell        fallen
кормить                 feed        fed         fed
чувствовать             feel        felt        felt
драться                 fight       fought      fought
искать                  find        found       found
убежать/избежать        flee        fled        fled
лететь                  fly         flew        flown
запрещать               forbid      forbade     forbidden
забывавть               forget      forgot      forgotten
простить                forgive     forgave     forgiven
заморозить              freeze      froze       frozen
получить                get         got         got/gotten
давать                  give        gave        given
идти                    go          went        gone
расти                   grow        grew        grown
повесить                hang        hung        hung
иметь                   have        had         had
слышать                 hear        heard       heard
скрывать                hide        hid         hidden
ударить                 hit         hit         hit
удерживать              hold        held        held
причинять_боль          hurt        hurt        hurt 
держать                 keep        kept        kept
стать_на_колени         kneel       knelt       knelt
знать                   know        knew        known
положить(лежать)        lay         laid        laid
руководить              lead        led         led
покинуть                leave       left        left
дать_взаймы             lend        lent        lent
позволять               let         let         let
лежать                  lie         lay         lain
светить                 light       lit         lit
потерять                lose        lost        lost
делать                  make        made        made
иметь_в_виду            mean        meant       meant
встречать               meet        met         met
заплатить               pay         paid        paid
класть                  put         put         put
читать                  read        read        read
ездить_верхом           ride        rode        ridden
звонить                 ring        rang        rung
подниматься             rise        rose        risen
бежать                  run         ran         run
сказать                 say         said        said
смотреть                see         saw         seen
искать                  seek        sought      sought
продавать               sell        sold        sold
посылать                send        sent        sent 
установить              set         set         set
шить                    sew         sewed       sewn
трясти                  shake       shook       shaken
светить                 shine       shone       shone
стрелять                shoot       shot        shot
показывать              show        showed      shown
сокращаться             shrink      shrank      shrunk
закрывать               shut        shut        shut
петь                    sing        sang        sung
тонуть                  sink        sank        sunk
сидеть                  sit         sat         sat
спать                   sleep       slept       slept
скользить               slide       slid        slid
говорить                speak       spoke       spoken
тратить                 spend       spent       spent
плеваться               spit        spat        spat
разделять               split       split       split
распространять          spread      spread      spread
вскакивать/прыгать      spring      sprang      sprung
стоять                  stand       stood       stood
украсть                 steal       stole       stole
придерживаться          stick       stuck       stuck
ужалить                 sting       stung       stung
вонять                  stink       stank       stunk
бить                    strike      struck      struck
клясться                swear       swore       sworn
подметать/подчищать     sweep       swept       swept
плавать                 swim        swam        swum
качать/размахивать      swing       swung       swung
брать/взять             take        took        taken
учить                   teach       taught      taught
рвать                   tear        tore        torn
рассказывать            tell        told        told
думать                  think       thought     thought
бросать                 throw       threw       thrown
понимать                understand  understood  understood
разбудить               wake        woke        woken
плакать/рыдать          weep        wept        wept
выигрывать              win         won         won
писать                  write       wrote       written
